[1.5625, 67.97054851445081]
[3.125, 5.427339100686912]
[4.6875, 40.244543566375356]
[6.25, 88.17736724147906]
[7.8125, 84.1611446272047]
[9.375, 17.730411063943187]
[10.9375, 25.41112328607844]
[12.5, 8.1508252408812]
[14.0625, 12.555496852622605]
[15.625, 7.210191664643775]
[17.1875, 12.597372470346912]
[18.75, 1.0665382366510752]
[20.3125, 12.771913083805998]
[21.875, 10.008451326498198]
[23.4375, 8.64884426867379]
[25.0, 14.308887852653537]
[26.5625, 6.015909531837581]
[28.125, 4.248041803511898]
[29.6875, 5.068117828846804]
[31.25, 2.565337006563914]
[32.8125, 16.732185392388274]
[34.375, 15.44517143037758]
[35.9375, 1.2189024618573856]
[37.5, 5.176880070680203]
[39.0625, 10.945458894600437]
[40.625, 18.450911383847416]
[42.1875, 7.245940623496951]
[43.75, 9.188438653410687]
[45.3125, 4.9936788359258735]
[46.875, 9.42671883352078]
[48.4375, 2.6775838712793356]
[1.5625, 65.78251131375966]
[3.125, 0.9038540357978629]
[4.6875, 36.447730202307085]
[6.25, 85.58158323535535]
[7.8125, 89.74331131882617]
[9.375, 15.347294006234886]
[10.9375, 29.282627315246806]
[12.5, 1.773950913342149]
[14.0625, 8.149633763371899]
[15.625, 14.158906428956815]
[17.1875, 5.4842131139723165]
[18.75, 8.116706923723623]
[20.3125, 16.748103076471807]
[21.875, 11.71931031158158]
[23.4375, 15.179884375133106]
[25.0, 10.022594686859085]
[26.5625, 7.382568780870185]
[28.125, 9.255275939281692]
[29.6875, 3.5403955958529933]
[31.25, 4.8801069866281965]
[32.8125, 14.89949140030086]
[34.375, 18.63493725528029]
[35.9375, 3.515615600704253]
[37.5, 6.040779527620303]
[39.0625, 10.71817290261934]
[40.625, 17.788220470233988]
[42.1875, 7.766068029482012]
[43.75, 9.621080486583871]
[45.3125, 4.544649507391316]
[46.875, 9.51648831574348]
[48.4375, 3.1926606485980313]
[1.5625, 51.3751054484736]
[3.125, 32.23017692102417]
[4.6875, 5.163909332148326]
[6.25, 101.27026881213929]
[7.8125, 107.30325136614913]
[9.375, 12.909132407332656]
[10.9375, 15.582125159975446]
[12.5, 25.672379859816058]
[14.0625, 20.67949061216116]
[15.625, 9.851885683338459]
[17.1875, 22.42458979809884]
[18.75, 7.612379761738575]
[20.3125, 4.894640677605746]
[21.875, 18.441768317462405]
[23.4375, 15.125606643738987]
[25.0, 14.126546195149933]
[26.5625, 7.307633107186694]
[28.125, 10.455804703058828]
[29.6875, 3.008016750444948]
[31.25, 3.323701462248868]
[32.8125, 15.598089593268142]
[34.375, 16.062907706626504]
[35.9375, 4.563921766965757]
[37.5, 9.638458070831296]
[39.0625, 15.234434129388283]
[40.625, 13.60820934245402]
[42.1875, 11.68800623084311]
[43.75, 9.718299362627633]
[45.3125, 3.7023652262621645]
[46.875, 11.729160890787053]
[48.4375, 3.8382415703990063]
[1.5625, 46.896702451732764]
[3.125, 43.252257019220124]
[4.6875, 7.666395780180862]
[6.25, 112.89744496620638]
[7.8125, 99.07057836298203]
[9.375, 15.911454576244564]
[10.9375, 7.907035719266732]
[12.5, 19.071922183218888]
[14.0625, 15.353023708921075]
[15.625, 6.192397263308573]
[17.1875, 13.656541214749767]
[18.75, 0.8959818192314369]
[20.3125, 12.749139665632827]
[21.875, 11.540728743319905]
[23.4375, 8.106026922710866]
[25.0, 17.709361179532173]
[26.5625, 1.6458582625036726]
[28.125, 9.621989229752236]
[29.6875, 8.969400866360472]
[31.25, 8.995332861388091]
[32.8125, 13.59826255122923]
[34.375, 19.749944084050803]
[35.9375, 2.552952805615762]
[37.5, 5.276964704156493]
[39.0625, 13.143783019061333]
[40.625, 16.44705816316606]
[42.1875, 10.683767006976419]
[43.75, 7.346374235649186]
[45.3125, 5.5532257137091925]
[46.875, 12.332292990331183]
[48.4375, 3.4978545979421054]
[1.5625, 49.74793165021233]
[3.125, 43.869620940198054]
[4.6875, 8.982729624567007]
[6.25, 116.66784324460176]
[7.8125, 96.6686495775951]
[9.375, 17.143298765553965]
[10.9375, 11.39794389988049]
[12.5, 15.251681815320378]
[14.0625, 13.045477562679137]
[15.625, 8.227345567390564]
[17.1875, 18.027398604361704]
[18.75, 4.073301086233565]
[20.3125, 12.99415132432735]
[21.875, 8.63364324526717]
[23.4375, 6.832948958236398]
[25.0, 20.288891337903433]
[26.5625, 4.201944044912057]
[28.125, 12.886421156560237]
[29.6875, 9.34738037215061]
[31.25, 7.651348859531835]
[32.8125, 15.012306226651535]
[34.375, 18.53664049931759]
[35.9375, 3.55054469389585]
[37.5, 5.507677565062416]
[39.0625, 12.200823817525865]
[40.625, 17.113916175810473]
